Cartographic
Drawing
Illumination
Image
Mixed material
Notated music
Painting
Photograph
Postcard
Poster
Print
Stillimage
Still image
Color slide
Collodion
negative
Monochromatic
Book
Correspondence
Journal
Magazine
Manuscript
Publication
Text
Writing
Written
document
certificate
Email message
Memorandum
Periodical
letter
report
Pamphlet
transcript
article
Press release
Essay
Manual
ledger
Diary
Diaries
Receipt
Logs
Deposition
Audio
Oral history recording
Recording
Sound
Film
Motion picture
Moving image
Movingimage
Video
Appliance
Container
Costume
Equipment
Frame
Furniture
Jewelry
Object
Physicalobject
Physical Object
Sample book
Sculpture
Specimen
Statue
Textile
Tool
Electronic resource
Online exhibit
Video game
