Image
Text
Photographs
Still Image
Still image
still image
Children's Art
Text; Image
image
Text; Image;
photograph
StillImage
text
Photograph
newspaper
Maps
postcard
Image;
Engravings
Still Image;
Physical Object
handwritten
Book plate
text; sound
photograph;
Sound
Student newspaper
Text;
Text; Still Image
"Text, Image"
Black and white print
Photomechanical prints
Correspondence
other typeset
photographs;
Image; Text
newspapers;
negative
Text; Newspaper
Lithographs
Moving Image
Text; Sound; Moving Image
Etchings
Physical Object;
Sound; Text
Book label
Photographs--Aerial
Portraits
Prints
Document
Still image; Text
drawings (visual works)
Monograph
Black & White Photograph
Letter - carbon typescript
Clippings
Postcards
Wood engravings
Text ; Image
Text; Image; Sound
Image ; Text
Collection; Text
"Text, Sound, Moving Image"
documents;
other typeset;
Postcard
published book
Mezzotints
realia
Transcript - typescript
Posters; War posters
color lithographs; prints (visual works)
Photographic prints
Drawings
image; text
Publication
Text; newspaper
Sound; Text; Image
Text; Moving Image; Sound
postcard;
Memorandum - carbon typescript
Audio
Etched daguerreotype prints
Letter - typescript
Pamphlets
Yearbooks
book
map
Receipt
Interview
Text; Sound
Elevation
Text; Newsletter
Image; Text;
review
other typeset; photograph;
Speech transcript - typescript
Book stamp
Image; Sound
Image/Text
Memorandum - typescript
Audio File;Text
photographs
Sound;
Color Slide
Text; Letter
Text; Still image
Wedding Reception of Sheila Simon and Perry Knop
Aquatints
Moving Image;
Presentation drawing
Speech notes - typescript
Floor plan
physical object
Text; Moving Image
article
Text--Periodicals
Woodcuts
Design drawing
Relief prints
Still Image; Text
technical drawing;
Preliminary sketch
title pages
Detail drawing
Color document
letter
Black-and-white Photograph
MovingImage
Moving image
slide
Study (visual work)
Plot plan
Prints (visual works)
Still image;
Text; Image; Sound; Moving Image
Design development drawing
Dick Durbin Fund Raiser
Handwritten
Image;Text
Leaflet
Physical object
Plan (drawing)
stagebill
text; image
2-D art reproduction
Broadsides
Diary - typescript
Documents
Notes - typescript
realia;
sound recording
Black & white photograph
Book
Building plan
Corresponcence
Elevation (drawing)
newspaper;
Paintings
Published book
Spine label
Wedding of Sheila Simon and Perry Knop
Woodburytypes
Advertisements
Book Covers
Image;text
Iowa State Education Association Summer Leadership Conference
photograph; published book
Announcement
audio
Color print
hand-drawn illustration
Image & Text
Newspapers
other typeset; handwritten;
paper
Simon Hometown Reception and Fund Raiser
Sketch
Text; Image; Text; Image
Text; proof sheet
Video
.m4v
Architectural drawing
Booklet
Composition drawing
Dick Durbin Fundraiser
Flyer
handwritten;
Master's Thesis; Text
Montages
other typeset; handwritten
other typeset; sound recording
Painting (visual work)
paper;
Perspective drawing
photocopy
Scrapbook
slide;
Still Image; Sound;
Text; image
Text ; image
Text; Magazine
Text; Sound; Moving Image; Image
"Text300 dpi, 24-bit color, TIFF, Epson 15000 scanner, Adobe Photoshop CS"
Watercolor (painting)
1974-1975
Affidavit
Architectural drawings
Black 
Color Photograph
Dick Durbin Supporters
Dick Durbin Talks to Supporters
Gallatin County Popcorn Day Parade
Gift plate
Image Image;
Leaflets
letters;
Memorandum - photocopy
Notes - photocopy
Other typeset
Pamphlet
phtograph
poster
press release
School yearbooks
Section
sound recording;
test; sound
Text; Book
Transcript - carbon typescript
advertisement
"Alterations, additions (general components)"
announcement
Block plan
Cards
color lithographs; prints (visual works);
Dick Durbin at Gallatin County Popcorn Day
Image; engraving
"Jim Rea, Carol Moseley Braun and Dick Durbin"
Mixed Media
Newspaper
Photograph; Postcard
photograph; postcard;
Preliminary drawing
Presentation
Presentation rendering
sound
Speech transcript - pamphlet
Speech - typescript
technical drawing
Text; Images
Text/Image/Sound
Typescript
2-D art original
Aerial Photograph
art;
article ; image
Article - typescript
B/W print
B/W Print
Blueprint
Books
books;
brochure
Certificate
Conceptual drawing
Declaration
Dick Durban Fundraiser
Digital Image
drawings (visual works); composition drawings
drawings (visual works);watercolors (paintings)
Evelope
Fabric (textile material)
Fliers
handwritten; Text
https://i-share.carli.illinois.edu/nby/nby/cgi-bin/Pwebrecon.cgi?DB=local&v1=1&BBRecID=915878
Image/Sound
image/tiff
Image Image
Images
interview
Journal
Magazine article
map; other typeset
memorandum - typescript
moving Image
Newspaper Advertisment
Newspaper Article
Newspaper clipping
None
Paper arts
Partial plan
Photograph; Black & White Photograph
postcards;
published book;
published book; sound recording
Sample books
Sculpture
Still Image; Text;
Summons
Telegram
"Text, Sound"
Text; advertisement card
Text; colored illustrations
Text; facsimile of letter
Text; Inventory
Text; program; Image
text; soun
text;sound
Text; tribute
Text; woodcut illustrations
Text/Sound
Tintype
watercolors (paintings)
watercolors (paintings); drawing paper
Wedding Reception for Sheila Simon and Perry Knop
wood;lead
Young Paul Simon Supporters
1972
3-D art reproduction
3-D Item
acrobat/pdf
advertisement ; image
Architectural models
B/W document
Black and white Slide
Book covers
buildings; christmas; decorations; holidays; houses; trees
Business Card
Carol Braun and Dick Durbin
"Carol Moseley Braun, Jim Rae, and Dick Durbin"
Cartoons
Collection
Collotypes
Diary
Diary - typrscript
Dick Durban Greets Parade Watchers
Dick Durban Talks to Parade Watchers
"Dick Durbin, Carol Moseley Braun and Jim Rea"
Dick Durbin and Supporter
Drawing
editorial
en
Essay - typescript
Exhibition catalogs
Extensions
figures
Gift label
handwritten; other typeset
handwritten; other typeset;
handwritten; Text; Image
Handwritten list
https://i-share.carli.illinois.edu/nby/cgi-bin/Pwebrecon.cgi?DB=local&v1=1&BBRecID=915803
https://i-share.carli.illinois.edu/nby/cgi-bin/Pwebrecon.cgi?DB=local&v1=1&BBRecID=915829
https://i-share.carli.illinois.edu/nby/nby/cgi-bin/Pwebrecon.cgi?DB=local&v1=1&BBRecID=915802
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/alia-064.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/ARG_008.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/arg-017.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/CAN-040.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/CAN-976.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/CHILE-035.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/CHILE-059.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/col-025.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/col--035.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/fin-006.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/fin-016.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/fin-037.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/GER-233.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/ger-234.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/gre-018.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/gua-007.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/HON-008.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/hon-026.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/hon-029.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/INDI-128.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/INDI-194.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/indi-287.mp3
https://library.illinoisstate.edu/downloads/assets/digital-collections/international-child-art/indo-006.mp3
